,0,1_x,2_x,1_y,2_y
0,57.0,-7.4703,-0.3561,-8.4965,-0.3358
1,81.0,-4.6478,7.9474,5.17,10.999
2,69.0,-8.3768,0.4391,-9.857,-1.6089
3,18.0,-4.9377,9.9903,5.164,10.5001
4,62.0,-5.8751,-6.6054,7.0999,-8.5866
5,76.0,-8.7503,2.2862,-7.416,-3.3666
6,82.0,-5.056,11.0115,4.7007,9.6514
7,45.0,-5.7191,-7.6118,10.1312,-8.3614
8,64.0,-7.1986,2.3764,-9.4223,-3.6486
9,80.0,-8.7949,-0.0633,-9.2625,-1.9572
10,35.0,-6.6498,-6.5922,7.1399,-8.7644
11,51.0,-5.4577,-7.391,7.0248,-6.9181
12,37.0,-7.8547,0.8797,-8.244,-2.3705
13,86.0,-5.3702,-9.2316,8.0822,-6.8847
14,74.0,-4.9542,10.7517,4.9588,9.2168
15,3.0,-4.8675,8.9291,5.0865,9.5871
16,56.0,-3.2764,7.6329,4.8407,9.3006
17,29.0,-7.2297,1.2443,-7.1867,-3.2449
18,61.0,-10.2582,-1.6944,-6.2528,-2.5893
19,53.0,-3.8923,9.7311,3.9796,7.9065
20,46.0,-5.0458,9.2021,6.018,9.4736
21,77.0,-3.991,9.0307,4.4235,8.8186
22,2.0,-4.4966,8.6451,7.2195,8.8427
23,24.0,-9.7054,2.6169,-8.0928,-1.9196
24,21.0,-7.4122,1.5275,-8.3242,-4.1458
25,98.0,-5.5894,-7.6002,8.1168,-7.4211
26,90.0,-7.1167,-8.8758,8.2362,-9.6175
27,1.0,-8.3656,0.4982,-8.1736,-3.9546
28,55.0,-6.2775,9.3774,5.0661,9.286
29,79.0,-5.8847,9.2257,6.8134,7.9073
30,28.0,-5.7241,9.1336,5.5186,10.4137
31,59.0,-10.1777,0.301,-7.6217,-1.1
32,36.0,-1.378,8.2518,6.5502,9.3715
33,75.0,-9.0863,1.1559,-9.0828,-3.854
34,60.0,-4.5949,7.455,5.9945,9.2185
35,58.0,-8.4706,-1.6234,-8.592,-2.8902
36,96.0,-6.1805,-6.0061,10.2181,-8.9969
37,5.0,-4.9771,-6.9474,7.9472,-9.8077
38,9.0,-7.5274,0.8848,-9.3769,-4.8204
39,19.0,-4.6626,9.6735,4.1894,10.4952
40,25.0,-7.0066,-0.4472,-7.3398,-2.6378
41,89.0,-3.7616,9.8488,6.5067,9.6453
42,48.0,-9.3477,-1.062,-7.4979,-1.9145
43,49.0,-4.3115,-8.4256,9.1015,-8.4982
44,4.0,-4.0015,8.8107,6.0736,9.684
45,39.0,-5.387,-6.6833,8.6478,-8.8103
46,7.0,-9.0952,0.7753,-8.8316,-3.7971
47,65.0,-3.0795,8.8207,3.6477,9.7885
48,6.0,-2.8154,7.7916,6.1721,7.6763
49,85.0,-5.9173,-7.1353,10.06,-8.0897
50,23.0,-8.6429,0.1733,-6.7113,-3.6176
51,92.0,-5.5822,-5.8273,9.7297,-7.4166
52,63.0,-7.966,2.3012,-7.3726,-2.7827
53,47.0,-5.02,9.1048,4.7077,10.1588
54,93.0,-6.4568,-6.7351,8.8267,-9.0132
55,17.0,-4.5776,-8.0577,6.5296,-9.2236
